Study_Hours;Attendance_Percent;Assignments_Completed;Previous_Score;Sleep_Hours;Pass
5.78;100;6.1;82.8;7.5;1
7.45;85.8;6.8;85.3;7;1
1.62;69.7;8.8;66.9;7.8;1
11.83;79.1;5.6;78.1;6.9;1
1.01;75.6;10;81.7;8.1;1
11.28;84.7;6.6;78.6;7.5;1
6.25;79.4;7;86.3;5.3;1
9.67;75.6;9.7;75.7;6.6;1
8.37;71.3;8.3;47.3;8.8;1
8.72;79.2;9.1;84.2;7.1;1
9.09;86.4;3.6;42.3;7.2;1
3.47;92;6.9;78.6;6.1;1
7.6;76.9;7.3;84.7;7.1;1
3.51;93.3;7.6;54.2;7.6;1
1.5;61.2;10;53.1;6.9;1
4.36;98.2;6.4;74.2;8.2;1
4.58;65.1;8;78.7;6.2;1
11.75;74.9;10;71.6;7.8;1
3.37;80.1;3.7;53.9;7.6;1
1.35;75.7;5;89.1;6.8;0
10.74;100;6.8;76.5;6.4;1
6.44;75.5;5.9;52.3;6.8;1
2;100;5.4;79.9;7.5;1
3.42;50;7.9;38.2;7.7;1
11.72;60;10;75.9;10;1
3.03;82.6;5.2;46.8;7.1;0
5.23;69.7;9.6;75.8;8.4;1
10.89;65.7;5.7;73.5;7.1;1
11.67;77.5;6.5;84.2;9.2;1
11.77;75.8;9.4;72.3;7.6;1
1.83;74.3;8.7;64.2;6.6;1
1.37;75.2;7.6;54.2;7.5;1
10.54;81.4;7.5;57.5;9;1
9.95;87;7.4;81.1;6.6;1
3.95;89.5;5.3;71.3;7.2;1
3.44;81.5;9.7;76.2;8.9;1
1.32;67.3;8.5;72.7;7;1
7.91;72.2;4.2;56.1;5.5;1
6.1;75.5;9.4;71.3;6.2;1
10.86;88.4;5.1;63.6;6.5;1
5.46;70.2;8.7;45.9;6.8;1
6.98;91;5.1;79.1;7.9;1
6.49;67.3;10;62.7;6.5;1
5.25;82.2;9.7;65.1;7;1
5.41;77.8;9.3;76.6;5.8;1
6.58;88.1;8.7;66.3;6.8;1
11.51;91.7;5.2;67.4;8;1
11.83;79.8;5.5;89.4;9.3;1
5.28;76.1;9.9;72.8;4.4;1
8.25;89.9;8.4;80.8;5.4;1
10.1;74.8;8.3;36.4;7.8;1
1.77;84.4;6;69.7;6.4;1
7.24;83.2;6.6;75;5.3;1
10.84;77;6.9;65;6.1;1
7.69;74.4;8.4;85.4;8.2;1
7.81;89.7;9.7;56.5;7.6;1
7.24;85.1;10;75.7;7.2;1
5.04;71;7.5;66;7.4;1
3.69;68.8;8;52.2;9.5;1
8.14;92.3;6.2;68.7;7.2;1
6.97;100;3.8;64.6;7.1;1
9.42;80.6;8.7;78.4;7.3;1
2.68;80.1;4.5;67.4;8.7;1
10.13;90;6.6;81.8;6.3;1
3.02;75.8;7.7;57.8;8.2;1
1.98;68.9;8.5;65.3;8;1
7.46;88.9;7.3;43.9;6.9;1
7.95;79.8;9.2;77.8;7.6;1
6.24;94.8;9.4;45.8;6.3;1
2.46;83.9;6.5;85.3;8.3;1
5.81;89.6;5.5;68.7;7;1
10.36;75.4;8.3;59.2;6.3;1
1.44;87.4;7.9;75.9;8.5;1
3.61;77.8;7.9;71.6;7.2;1
4.32;91.3;8.5;46.2;6.7;1
1.79;96.5;4.6;77.8;5.8;1
8.58;80.6;6.9;92.7;6.7;1
6.56;79.6;10;47;7.9;1
7.01;64;6.6;71.1;6.6;1
6.32;100;8.4;85.1;6.2;1
7.12;100;6.2;64.8;7.7;1
7.8;94.6;9.4;45.3;6.8;1
1.57;69.6;7.7;69.7;9.8;1
8.28;81.3;5.8;78.9;5.2;1
10.55;73.3;10;58.1;7.6;1
3.1;83.6;2.8;39.3;9;0
3.34;78.3;5.8;45.4;6.7;1
1.85;79.4;9.1;51.7;5.3;1
2.41;60.4;5.5;79.5;6.7;1
3.44;81.4;5.2;59.6;5.8;1
4.85;91;4.9;64.8;6.3;1
4.95;77.6;6.5;73.5;7.4;1
1.98;71.5;7.6;43.4;6;0
9.71;72.5;5;64.9;8.7;1
5.61;75.5;8.2;63.1;8.3;1
7.64;76.4;8.4;68.6;8.2;1
5.47;76.2;8.6;66.8;6.6;1
5.58;100;5.5;60.9;6.2;1
2.52;75.2;8.2;61.5;6.1;1
5.93;79.4;5.8;68;6.6;1
6.02;89.8;7.3;59.2;7.7;1
4.38;83.6;7.8;86.2;7.8;1
7.2;72.1;10;83;9;1
1.72;76.2;9.5;74.8;5;1
8.9;80.9;8.8;65.3;9.1;1
2.37;85.4;10;65.6;8.7;1
6.27;69.5;5.9;79;6.6;1
4.2;90.5;6.2;69.6;7.3;1
6.15;91.2;7.6;58.2;8;1
2.27;74.6;9.4;72.3;7.6;1
8.96;80.6;8.6;73.1;7.9;1
2.29;88.6;8;72.8;9.2;1
8.74;77.6;10;56.4;7;1
5.2;58.7;8.4;55.1;7.2;1
2.77;73;7.8;60.5;4.2;1
1.11;100;6.9;56.2;6.9;1
5.14;72.9;9.2;52.5;5.9;1
8.9;79.3;5.8;78;4;1
6.11;100;8.7;63.9;9.2;1
4.56;76.4;8.8;64.7;8;1
9.4;75.7;8;67;5.5;1
2.89;72.3;9.7;43.1;6.4;1
10.94;87;10;74.9;7.9;1
1.97;72.3;5.9;65.1;4.9;0
8.81;91.1;8.7;55.2;5.8;1
7.78;93.8;6.2;63.3;7.1;1
4.31;97.7;8.3;78.2;6.6;1
8.93;94.7;6.9;65.7;7.6;1
7.02;79.2;6.6;84.7;6.4;1
9.93;66.3;7.1;84;10;1
6.02;72.6;8.6;86.8;6;1
6.96;100;7.9;74.1;5.6;1
7.91;81.9;7.3;76.5;7.8;1
1.75;88.5;9.8;46.8;8.9;1
2.33;67.3;9.7;62.8;5.5;1
2.48;93.6;7.9;79.8;6.5;1
8.35;84.4;4.9;73.8;7.6;1
10.25;74.3;3.2;41.7;8.7;1
4.19;92;7;64.8;7.4;1
8.91;86.4;8.7;61.4;8;1
3.73;60.1;5.6;71.7;5.1;1
7.15;88.7;9.8;61.7;5.4;1
9.59;84.4;5.9;63.6;6.1;1
8.04;69.8;10;68.2;6.9;1
10.04;78;9.9;66.1;6.5;1
1.66;75;9.1;72.2;7.5;1
5.72;95.2;6.2;53.9;6.5;1
10.65;88.8;10;69.4;6;1
4.38;81.4;7.3;71.8;7.9;1
10.42;82.6;7.3;54.5;8.9;1
3.74;86.5;7.6;66.7;7.5;1
6.86;88.8;5;81.5;6.4;1
7.3;94.4;8.9;72;6.3;1
5.73;98.9;9.8;72;6.9;1
8;73.7;9.2;54.4;7.6;1
1.35;76.3;7;85.1;5.8;1
3.14;81.4;6.4;55.6;6.7;1
8.94;77.4;6.6;68;7.3;1
3;91.2;10;60.5;7.2;1
6.14;75.4;9.5;65.1;6.5;1
7.74;81;7.2;83.4;7.5;1
10.85;79.2;6.6;77.1;6.9;1
8.07;90.6;5.3;74.3;5.7;1
5.78;95.5;7;76.3;7.7;1
11.22;75;6.6;86.5;7.9;1
4.62;75.4;10;38.9;8.1;1
11.2;93.3;4.6;49.5;8.2;1
3.86;91.6;7.5;66.8;7.6;1
6.02;89.1;10;47.6;6.5;1
7.21;100;7.6;78.1;7;1
9.54;88.4;7;63.7;7.3;1
8.7;83.5;4.4;70.5;6.9;1
2.39;74.6;9.3;71.1;7.9;1
2.09;80.9;7.3;73.9;5.7;1
8.27;91.2;6.2;76.1;8;1
1.16;91.2;9.1;56.3;7.1;1
2.37;74.2;7.4;57;6.8;1
4.69;70.6;4.9;66.1;6.4;0
9.93;60.6;8.3;67.7;5.3;1
4.05;79.5;9.3;61.3;6.4;1
5.31;90.7;6.4;52.2;7.1;1
7.89;88.8;10;48.7;8.1;1
10.63;81.8;5.6;68.9;6.4;1
10.22;73.1;10;97;9.3;1
8;100;6.9;83.3;6.6;1
10.12;82.4;10;67.5;6.1;1
2.95;81.7;7.9;100;5.9;1
4.14;96;7.2;54.9;5.5;1
7.04;95.7;5.9;58.9;7.1;1
2.63;84.9;6.7;61.3;6.8;1
6.48;69.8;4.9;71.5;8;1
11.59;89.6;6.3;88.7;7.3;1
6.26;91.3;9.8;56.4;7.3;1
1.79;80;6.2;71.5;6.9;1
9;99.2;9.9;93;6.6;1
6.32;78.2;7.3;43.2;9;1
6.99;87.8;7.8;73.9;7.6;1
8.95;75.4;7.8;65.7;6.7;1
2.91;77.4;6.2;75.5;7.4;1
2.82;88.9;9.4;47.1;5.9;1
8.49;98.7;6.8;84.7;8.2;1
4.86;64.9;6.3;60.5;4.9;1
7.45;99.4;10;75;7.9;1
11.06;87.6;6.7;70.4;6.8;1
2.38;63.5;5.5;61.3;8.8;1
9.57;75.2;6.6;80.3;7.5;1
8.67;93.2;8.8;48.7;7.9;1
9.66;64.6;6.8;42.6;5.5;1
3.11;74.4;8;58.5;6.3;1
3.38;93.1;8.8;53.6;7.6;1
5.31;100;9.3;57.6;6.6;1
11.44;66.3;10;75.2;7;1
1.73;86.5;9.7;64.7;9.9;1
2.92;94.4;8.1;70.3;5.7;1
1;79.7;6.3;70.8;5.9;0
4.5;79.4;7.4;78.8;6.3;1
3.42;76.7;5.5;71.7;6.5;1
8.13;85.8;6.6;63.2;7.3;1
6.44;82.5;9;57.5;6.3;1
5.37;77.5;7.9;52.6;7.1;1
3.26;73;6.6;71.8;6.2;1
3.33;93.2;7.9;72.3;6.7;1
6.11;71.4;5.9;50.8;8.2;1
3.27;81.7;9.3;53.7;6.6;1
3.84;78.3;7.4;80.6;5.9;1
7.12;89.5;10;61.6;8.1;1
7.54;92.9;5.6;70.7;6.7;1
9.16;82.8;6;57.6;7.4;1
7.3;87.2;6.7;64.4;6.9;1
8.27;76.6;7.9;46.7;7.3;1
9.16;99.8;7.6;86.5;6.7;1
2.11;75.3;7.4;35.9;7;1
1.82;100;9.6;79.3;7.3;1
7.51;67.5;8.6;47.7;6.1;1
1.51;78.1;5.1;66.7;10;1
1.56;84.2;7.5;73.8;6;0
2.84;79.9;4.8;52.2;7.9;1
8.95;56.5;10;63.9;7.3;1
4.48;94.1;6.2;58.8;6.7;1
1.01;77.5;8.4;69.4;6.8;1
7.1;94.8;6.8;60.4;8.1;1
3.78;77.1;6.7;42.6;8.9;1
4.01;86.8;4.5;74.3;5.4;1
8.34;92.3;7;85.3;9.8;1
6.17;73.5;7.2;89;7.7;1
1.45;91.9;8.2;86.3;6;1
5.27;84.3;9.7;69.4;8.7;1
5.11;80;10;65.6;8.1;1
9.74;100;10;64.7;6.5;1
2.23;100;4.2;80.7;9.9;1
7.27;100;10;59.9;7;1
1.27;83.6;8.4;49.5;8.1;1
10.89;67.7;8.7;55.9;6.7;1
3.3;65.7;7.2;70.2;6;0
9.59;85;7.6;71.6;8.3;1
8.86;76.1;8.7;79.5;7.8;1
10.67;86.1;8.4;61;10;1
5.14;78.1;6;65.8;9;1
5.74;66.3;6.2;76.5;7.7;1
10.19;82.9;6;70.2;8.3;1
4.66;95.4;6.5;67.3;8.7;1
2.62;78.8;5.4;62.7;7.7;1
7.79;76;6;76.6;7.8;1
4.13;69.1;9.6;40.1;5.9;1
4.72;84;8.9;71.2;6.6;1
6.69;86.3;6.9;83.2;6.5;1
6.01;81.2;6.1;64.2;7.9;1
9.06;86.7;4.9;73.8;5.9;1
11.32;94.4;7.3;62.2;6.2;1
10.2;87.8;4.1;76.8;8.2;1
5.01;55;8.6;66.1;9;1
8.77;94.4;7.6;73;6.3;1
3.78;83.8;6;66.8;7;1
6.59;68.2;4.8;76.7;7.7;1
2.95;87.7;6;77.9;7.2;1
10.91;73.8;9.3;64.7;8.2;1
4.21;70.9;8.8;55.8;8.2;1
4.73;85.4;7.8;56.6;5.5;1
10.89;91.5;8.1;47;5.5;1
7.23;96;8;59.9;7.8;1
9.32;80.5;8.7;67.9;9.3;1
10.49;85.1;5.1;60.4;7.5;1
1.69;78.2;7.8;83.9;5.4;1
7.33;71.9;7.1;61.3;6;1
11.24;55.8;8.3;67.4;7.2;1
1.08;91.7;6.6;76.4;7.5;1
6.56;85.1;7.1;65.7;7.3;1
3.23;87.6;7.9;77;8.5;1
6.2;81.3;8.8;86.9;7.2;1
4.77;88.3;6.1;73.9;5.6;0
3.44;75.3;8.4;55.1;7.9;1
4.52;95;7.2;75.7;4.5;1
6.65;94;6;62.5;5.5;0
4.29;97.3;7.9;52.9;5.1;1
3.57;72.7;6.3;82.5;5.2;1
2.38;88.5;5.6;69.7;10;1
2.89;77.6;10;57.6;7.2;1
8.69;77.9;8.2;75.4;4.9;1
11.11;83.6;5.8;68;8.4;1
8.56;80;9;57;6.8;1
10.13;65.8;8.1;73.8;7.2;1
2.82;88.1;8.3;64.2;8.5;1
8.55;88.4;7.8;66.4;6;1
11.71;83.1;5.4;91.2;6.9;1
11.47;82.9;4.9;70.8;5.9;1
1.12;71.9;7.5;68.6;6.9;0
2.7;86.4;5;69.5;7.5;1
4.93;99.9;6.7;67.2;6.9;1
1.8;70.7;4.4;71.4;6.8;0
11.73;77.3;6.6;66.2;6.8;1
1.68;75.3;7.6;77.9;6.2;0
6.25;75.4;7;83.6;6.4;0
11.67;89;8.4;65.1;6.8;1
11.49;97.8;7.6;47.9;6.4;1
6.96;97.6;8.4;55;6.6;1
4.53;68.6;8.1;68.3;6.5;1
7.15;81.7;8.6;72.8;8;1
3.48;78.1;6.8;53.6;7.8;0
1.95;93.7;8.9;78.1;6.2;1
8.61;97.1;7.5;56.9;8.1;1
2.55;77.5;7.9;39.1;8.1;1
3.34;64.1;7.5;64.6;7.1;1
11.36;87.9;6.9;71.6;7.8;1
1.33;81.6;8.4;53.6;5.6;1
9.27;90.9;4.7;50.1;5.2;1
3.56;87.2;5.6;63.1;6.9;1
7.52;83.7;4.5;57.6;8;1
3.67;75.1;8.6;77.6;8.7;1
6.39;71.1;6.7;74;7.5;1
6.94;89.6;8.3;72.8;6.2;1
10.46;72.9;10;51.2;5.4;1
2.19;82.4;8.8;52.8;7.7;1
8.87;77.5;3.7;55;6.9;1
7.89;73.4;5.6;87.8;7.6;1
8.5;63;9.3;73;7.2;1
11.33;89.4;7.4;63.5;6.5;1
9.13;98.7;9.3;66.5;4.7;1
6.78;65.1;10;54.7;4.9;1
1.58;95;6.1;65.2;6.7;1
6.26;57.7;10;76.5;5.8;1
11.48;91.7;7.3;68.1;6.7;1
9.86;77.7;7.4;61;7.4;1
5.71;83.6;9;84.6;7.7;1
7.76;77.5;10;57.3;5;1
9.91;100;7.6;58.4;6.7;1
9.94;80.2;10;55;7.1;1
3.16;62.2;9.4;90.2;9.1;1
2.78;85.7;7.8;67.9;6.6;1
7.92;97.6;8.4;53.9;4.3;1
11.33;71.6;6;67.6;5.2;1
1.73;93.5;7;68;8.6;1
6.96;60.3;5.1;72.7;5.3;1
11.42;97.4;9;88.7;7.3;1
6.34;70.7;5.6;83.9;6.4;1
2.76;90.7;7.4;48.6;5.9;1
5.64;89.7;4.7;87.4;5.9;1
1.9;93.8;5.9;72.5;8;1
10.19;96.2;4.5;85.9;5.6;1
6.04;90.2;7.5;81.3;9.4;1
8.39;72.4;6.1;61.6;5.2;1
3.63;76.6;7.2;69.6;7.6;1
9.16;75.7;9.7;83.2;7.6;1
4.89;84.7;10;64.9;6.3;1
8.64;75;4.5;59.5;5.3;1
5.38;77.8;4.8;81.3;8.5;1
10.64;88.9;8.6;62;7;1
8.79;98.3;8;68.9;5.7;1
1.99;79.7;8.4;77.5;8.1;1
9.37;83.6;8.6;78.2;5.9;1
4.22;82.3;9.5;63.9;7.2;1
3.2;83.3;8.3;63.4;5.6;0
7.31;89.7;8.3;67.8;8.9;1
5.83;84;7.5;69.8;6;1
5.24;88.4;5.6;60.2;9.4;1
1.12;82.4;7.9;56.1;6.8;1
9.97;62.8;8.6;65.7;6.2;1
2.61;81.8;5.4;51.9;5.1;1
1.7;89.3;10;66;7.5;1
6.21;74.9;9.4;50.6;7.4;1
1.91;91.6;4.3;73.1;7.8;1
8.49;71.7;8.1;52.6;7.3;1
5.41;79.3;6.8;84.2;6.8;1
4.12;80.5;10;69.8;4.5;1
2.6;61.4;9.4;81.7;6.7;1
10.76;73.3;9.3;69.2;7.9;1
10.01;68.9;7.9;61.7;8.9;1
2.42;78.8;8.8;77.1;7.9;1
11.11;85.8;9.4;67.8;7.7;1
10.33;61.9;5.1;86.5;6.8;1
2.72;74;7.7;48.4;6.5;1
10.22;85;7.3;72.3;4;1
8.31;92.6;7.6;70.6;8;1
4.42;93;9.2;91.7;7.7;1
5.89;80;6.7;61.4;7.3;1
8.85;80.4;5.1;61.7;6.6;1
1.5;89.9;5.2;72;7.9;1
3.86;87;8.8;83.8;7.3;1
6.61;94.5;5.3;77.5;6.2;1
2.56;69.2;6.6;77;6.5;1
9.98;86.5;8.3;49.9;6.9;1
2.87;87.4;5.9;67.9;6.8;1
1.93;90.9;4;58.2;4.7;1
10.53;58.9;7.3;51.3;7.2;1
2.64;82.2;7.8;78.6;6.4;1
9.72;90.4;5.1;60.1;8.1;1
7.25;91.3;8.5;63.5;9.7;1
6.34;90.9;5.4;60.5;4.1;1
6.39;60.2;4.2;84.2;8.2;1
10.11;74.7;8.7;83;6.4;1
10.85;87.6;7.8;78.6;6.1;1
7.43;75.8;7.7;93.2;6;1
10.15;67.9;4.8;86;7.3;1
11.29;73;3.8;89.7;7.5;1
10.16;79.5;7;44.8;10;1
7.36;86.2;6.4;72.9;6.3;1
1.97;80;5.8;39.3;5.9;0
3.73;74.2;7.3;72.3;4.7;1
4.99;90;8.8;58.9;6;1
1.56;70.8;5.5;65.3;7.1;0
6.62;96.1;7.5;74;4.3;1
3.68;76.4;7.1;39.2;5.7;1
5.59;89.9;10;69.2;6.8;1
3.11;78.3;6.6;72.3;5.6;1
6.12;100;5.6;75.7;8.2;1
4.34;94;7.7;69;6.8;1
6.87;93.2;10;55.1;7;1
2.93;70.5;5.6;88.4;6.2;0
11.47;81;6;67.5;6;1
5.83;80.2;7.1;72;8.7;1
1.94;70.6;5.4;93.4;6.6;1
5.59;91.7;8.8;49;5.2;1
2.5;98.4;5.8;60.5;6.7;1
7.56;74.8;7.7;78.3;7.4;1
3.08;74.4;7.1;69.6;8.5;1
10.81;92.8;9.2;65.4;8.6;1
1.34;87.4;9.8;78.5;8.1;1
7.01;86.4;8.1;55.2;7.6;1
4.73;82.9;6.1;64.7;6.9;1
4.04;73.6;7.9;67.4;6.1;1
11.05;74.6;6.6;54.1;9;1
2.69;86.4;7.9;71;6.8;1
10.78;84.2;6.8;68.5;8;1
6.15;72.6;7.3;41.4;8.2;1
8.92;91.7;6.5;75.3;5.4;1
3.25;78.9;7.8;52.7;7.6;1
8.85;94.3;10;71;6.2;1
7.71;87.9;10;67.3;5.3;1
3.88;89.3;7.1;55.6;6;0
11.54;86.3;8;60.5;7.2;1
9.15;87.4;4.6;50.8;8.8;1
10.11;82.2;8.9;73.5;7.5;1
1.54;69.5;9.3;77.9;7.9;1
8.2;76.6;4.7;76.5;6.8;1
7.35;87.5;5.2;62.2;6.6;1
5.04;87.5;5;48.3;5.7;1
2.57;93.9;7.2;61.9;5.7;1
3.67;68;5.9;55.7;6.4;1
11.09;83.5;8.6;79.5;6.7;1
3.14;86;8.2;62.9;4.4;1
1.65;94.9;4.9;48.8;5.9;1
2.17;100;5.8;72.1;5.6;1
5.26;67;6.9;52.7;8.7;1
1.78;85.5;6.9;63.9;6.7;1
1.39;77.7;9.1;83.5;8.3;1
1.99;73.1;8.5;84.9;7.2;1
7.03;83.9;10;65.9;5.7;1
10.69;96.4;3.6;53.2;8;1
11.46;68.5;10;63.1;4.1;1
2.18;81.2;8.7;69.4;7.5;1
6.92;88.3;7.1;76.7;7.2;1
9.1;70.7;5.8;57.1;8.4;1
1.44;85.3;8.9;82;8.6;1
10.62;70.8;10;60.5;5.2;1
11.33;81.9;8.8;62.7;5.5;1
4.22;79.3;9.4;59.6;5.1;0
11.55;94;7.6;61;6.4;1
6.92;88;6.8;90.8;6.3;1
4.57;76;6.1;80.6;7;1
2.67;78.7;4.2;63.1;8.2;1
9.11;69.3;7.2;76.7;6.5;1
5.84;87.3;9.5;58;6.9;1
3.94;57.6;10;46.3;5.1;1
9.03;90.4;7.6;72.7;8.2;1
7.84;70.1;4.7;100;7.1;1
9.93;72.3;7;65.2;7;1
4.96;82.8;8.3;64.9;8.1;1
4.33;77.6;10;49.9;6.9;1
2.43;70.5;7.9;51.7;8.1;1
10.24;78.4;9.9;67.5;7.1;1
9.03;95.3;8.8;66;8.7;1
2.06;75.8;8.4;63;5.9;1
1.55;63.6;8.2;63.6;7.8;1
4.8;95;8.1;66.2;5.8;1
3.23;69;7.1;70;7.1;1
5.05;75;7.5;77.3;6.3;1
7.15;89.9;6.7;78.7;6.9;1
5.25;82.3;8.9;73.5;6.4;1
4.51;84.6;5;54.5;7.8;1
6.82;82.2;6;45.4;8.5;1
9.42;74.8;9.2;82.8;8.5;1
8.23;87.2;5.9;74.8;8.6;1
9.2;80.6;8.3;72.9;6.2;1
11.66;64.7;6.8;54.9;7;1
9.28;84.9;5.1;77.9;5.1;1
3.8;77.5;7.6;69.5;6.6;1
11.52;87.2;9.9;72.8;5.2;1
8.26;81.7;7.1;58.4;7.1;1
8.97;69.1;9;60.4;7.2;1
10.76;67.5;9.1;65.2;6.6;1
11.12;87.2;5.1;77.1;7.6;1
5.55;73.5;9;86.2;7.2;1
2.55;70.7;6.6;61.3;6.5;0
8.17;78.9;9.3;74.6;4.7;1
9.77;86;7;73.1;7;1
3.45;86.6;8.8;88.5;7.5;1
4.28;75.8;10;62.1;6.2;1
1.82;78.9;6.6;82.8;8.2;1
6.18;100;5.5;67;5.3;1
11.96;67.3;7.8;79.4;7.6;1
2.51;71.3;8.9;68.6;7.4;1
10.33;81.3;10;83.1;5.6;1
7.7;88.4;10;62.5;7.9;1
5.44;76.3;7.1;85;8.5;1
9.89;79.6;6.9;58.6;9.7;1
11.89;94.3;5.3;81.8;6.8;1
11.41;84.8;6.1;53.6;7.1;1
8.49;90.5;7.5;79.2;5.3;1
4.33;63;9.5;51.7;6.6;1
11.94;70.6;10;64.3;7.5;1
8.78;87.8;5.9;81.9;7.5;1
11.46;100;6.4;71;4;1
2.71;91.7;7.8;46.9;4.6;0
8.73;100;8.3;73.2;10;1
11.69;79.7;8.5;86.4;8.2;1
1.53;92.2;5;78.9;7.2;1
6.4;72.8;5.4;60.4;7.5;1
1.22;75.1;9.2;69.6;6;1
3.65;82.8;9.7;86.4;7.6;1
4.07;94.4;6.4;84.2;5.2;0
7.9;77.4;7.7;46.7;5.7;1
6.87;82.3;9;81;7.9;1
7.82;92.7;8.1;44.3;6.4;1
5.5;68.5;5.8;48.1;8.9;1
7.34;94.6;8;67.7;5.4;1
3.96;92.5;5.5;55.8;6.4;1
6.02;83.2;8.4;81.7;5.5;1
10.94;100;7;68.5;8.5;1
5.71;72.1;6.2;52.1;7.6;0
11.97;82.9;7.6;77.8;8.7;1
9.46;91.4;6.3;45.7;5;1
11;85.4;5.5;74.8;7.1;1
8.08;70.2;8.6;75.2;6.5;1
10.47;76.3;6.3;72.3;6.4;1
6.57;67.6;9.9;100;8.2;1
5.94;92.2;9.5;61.5;6.2;1
4.46;93.6;9;51.4;7.5;1
10.42;71.4;5;76.3;7.9;1
3.81;88;8.6;60.7;8.6;1
10.81;62;5.9;63.2;4.6;1
10.19;67.9;9.3;48.5;6.3;1
9.58;80.7;5.7;61.3;6.3;1
3.45;77.4;7;65.2;6.8;1
11.25;75.2;8.7;46.1;7.4;1
7.46;82.1;6.6;79.7;6.7;1
6.92;68.2;6.8;53.4;8.3;1
9.72;70.4;7.7;64.9;8.5;0
1.4;89.2;7.2;70.9;5.7;1
6.37;66.6;7.9;73.3;7.2;1
6.43;100;7.9;93.4;8.7;1
2.59;73.8;5.2;61.9;4.8;0
10.07;77.6;10;72.1;5;1
5.53;80.8;9.6;73.3;5.6;1
1.37;88.1;8.4;73.1;7;0
4.01;72.8;6.3;36.7;5;1
11.5;64;9.3;67.7;6;1
3.61;75.7;6.7;65.6;7.7;1
6.58;91.2;7.7;57.7;6.6;1
2.31;78.8;7.1;70.7;6.3;1
2.01;82;7.9;75.3;8.2;1
9.99;84.6;10;70;5.1;1
8.5;83.1;6.8;73.8;6.6;1
8.07;77.6;9.9;65.2;8.1;1
11.85;93.9;8.4;53.2;6;1
8.93;73.3;6;91.8;8.5;1
3.04;85.7;10;57.1;4.5;1
7.24;74.3;8.9;68.5;8;1
8.71;81.3;4.9;71.3;6.1;1
5.8;99.3;6.9;53.4;7.3;1
11.76;91;6;67.5;8.5;1
11.42;85.4;6;72.6;8.2;1
7.22;79.8;6.1;70.8;6.6;1
4.61;98.7;7.6;66.9;7.2;1
8.33;89.7;7.8;74.9;7;1
6.25;82.8;8.8;49.8;5.5;1
3.68;73.1;7.6;75.5;8.9;1
6.39;71.5;7.6;79.1;4.3;1
9.84;85.6;10;65.3;6.9;1
